"Date","Price","Open","High","Low","Vol.","Change %"
"1988/12/30","412.30","412.70","415.80","410.50","","0.44%"
"1988/12/29","410.50","413.50","413.80","409.50","","-1.46%"
"1988/12/28","416.60","417.50","418.80","415.00","","-1.02%"
"1988/12/27","420.90","421.90","422.50","420.80","","-0.17%"
"1988/12/23","421.60","421.00","422.00","419.60","","0.07%"
"1988/12/22","421.30","419.20","421.60","418.80","","0.60%"
"1988/12/21","418.80","418.50","420.20","418.20","","0.31%"
"1988/12/20","417.50","416.50","418.50","416.20","","-0.12%"
"1988/12/19","418.00","417.50","418.70","415.80","","0.10%"
"1988/12/16","417.60","413.00","418.50","413.00","","0.24%"
"1988/12/15","416.60","425.70","426.00","415.20","","-2.14%"
"1988/12/14","425.70","424.70","426.60","422.80","","0.38%"
"1988/12/13","424.10","425.00","425.60","423.30","","-0.12%"
"1988/12/12","424.60","425.50","426.00","423.80","","-0.70%"
"1988/12/09","427.60","426.00","428.00","423.60","","0.21%"
"1988/12/08","426.70","428.50","429.00","426.60","","-0.23%"
"1988/12/07","427.70","429.00","430.30","425.90","","-1.13%"
"1988/12/06","432.60","434.00","434.30","430.80","","-0.37%"
"1988/12/05","434.20","435.80","436.60","433.80","","-0.57%"
"1988/12/02","436.70","429.20","438.00","428.30","","1.89%"
"1988/12/01","428.60","429.80","430.80","427.80","","-0.23%"
"1988/11/30","429.60","426.60","429.80","425.90","","0.59%"
"1988/11/29","427.10","427.50","429.30","426.50","","0.90%"
"1988/11/28","423.30","424.50","426.00","422.00","","0.76%"
"1988/11/23","420.10","418.30","420.70","418.10","","0.48%"
"1988/11/22","418.10","418.30","421.10","417.70","","0.38%"
"1988/11/21","416.50","417.80","418.60","416.00","","-0.38%"
"1988/11/18","418.10","421.50","421.70","416.80","","-0.71%"
"1988/11/17","421.10","425.00","425.70","420.90","","-1.06%"
"1988/11/16","425.60","426.00","428.90","424.50","","0.00%"
"1988/11/15","425.60","425.10","428.20","424.80","","0.09%"
"1988/11/14","425.20","421.60","426.80","420.90","","0.50%"
"1988/11/11","423.10","422.20","423.30","419.80","","0.62%"
"1988/11/10","420.50","423.80","424.20","420.10","","-0.99%"
"1988/11/09","424.70","421.20","425.50","420.30","","0.83%"
"1988/11/08","421.20","423.70","424.30","419.50","","-0.82%"
"1988/11/07","424.70","423.00","425.00","422.30","","0.28%"
"1988/11/04","423.50","422.40","424.50","419.80","","-0.05%"
"1988/11/03","423.70","425.00","427.20","422.40","","-0.12%"
"1988/11/02","424.20","415.50","425.20","415.40","","2.46%"
"1988/11/01","414.00","413.70","414.70","412.60","","-0.26%"
"1988/10/31","415.10","415.10","415.60","413.10","","0.05%"
"1988/10/28","414.90","409.80","419.00","409.70","","1.17%"
"1988/10/27","410.10","410.20","410.80","409.40","","-0.24%"
"1988/10/26","411.10","411.00","411.80","409.50","","0.42%"
"1988/10/25","409.40","409.60","410.80","409.00","","0.15%"
"1988/10/24","408.80","408.50","410.00","407.10","","-0.66%"
"1988/10/21","411.50","414.60","415.10","411.10","","-0.94%"
"1988/10/20","415.40","415.90","416.40","414.60","","0.17%"
"1988/10/19","414.70","414.20","416.70","413.20","","-0.10%"
"1988/10/18","415.10","415.30","417.00","413.70","","-0.10%"
"1988/10/17","415.50","414.30","418.30","413.70","","0.73%"
"1988/10/14","412.50","410.50","414.80","410.20","","0.51%"
"1988/10/13","410.40","411.80","413.80","408.30","","-0.44%"
"1988/10/12","412.20","409.50","416.00","409.50","","0.93%"
"1988/10/11","408.40","412.00","412.30","407.90","","-1.04%"
"1988/10/10","412.70","411.00","414.20","410.30","","1.33%"
"1988/10/07","407.30","408.00","409.10","406.00","","-0.17%"
"1988/10/06","408.00","408.00","409.40","406.50","","0.67%"
"1988/10/05","405.30","402.20","405.60","398.80","","0.65%"
"1988/10/04","402.70","401.30","404.20","401.10","","0.12%"
"1988/10/03","402.20","398.80","404.50","398.10","","0.75%"
"1988/09/30","399.20","402.50","403.20","396.80","","-0.60%"
"1988/09/29","401.60","403.40","404.30","400.70","","-0.45%"
"1988/09/28","403.40","402.80","403.80","399.50","","0.22%"
"1988/09/27","402.50","402.00","403.00","398.80","","0.55%"
"1988/09/26","400.30","397.00","401.30","395.50","","0.25%"
"1988/09/23","399.30","404.80","406.50","398.00","","-1.31%"
"1988/09/22","404.60","400.50","405.50","399.00","","0.15%"
"1988/09/21","404.00","405.30","408.50","402.50","","-1.77%"
"1988/09/20","411.30","416.30","417.00","407.00","","-0.99%"
"1988/09/19","415.40","414.00","416.10","413.20","","-0.67%"
"1988/09/16","418.20","422.20","423.00","415.00","","-1.60%"
"1988/09/15","425.00","427.60","427.80","422.10","","-0.70%"
"1988/09/14","428.00","429.20","430.30","426.90","","-0.05%"
"1988/09/13","428.20","427.70","429.70","426.80","","0.05%"
"1988/09/12","428.00","426.00","428.20","425.00","","-0.12%"
"1988/09/09","428.50","436.50","437.70","427.50","","-1.79%"
"1988/09/08","436.30","435.50","436.50","435.40","","0.14%"
"1988/09/07","435.70","434.60","436.50","434.00","","0.21%"
"1988/09/06","434.80","436.60","437.90","434.70","","-0.59%"
"1988/09/02","437.40","438.50","439.00","432.50","","-0.30%"
"1988/09/01","438.70","439.00","439.70","438.50","","-0.27%"
"1988/08/31","439.90","436.20","440.60","435.30","","0.50%"
"1988/08/30","437.70","438.00","438.10","435.80","","-0.23%"
"1988/08/29","438.70","441.60","442.10","438.00","","-0.61%"
"1988/08/26","441.40","443.30","443.90","440.20","","-0.18%"
"1988/08/25","442.20","445.80","446.80","441.80","","-0.50%"
"1988/08/24","444.40","442.20","446.30","442.00","","0.59%"
"1988/08/23","441.80","442.80","443.50","441.50","","-0.32%"
"1988/08/22","443.20","440.30","444.50","439.60","","0.41%"
"1988/08/19","441.40","442.80","443.00","440.80","","-0.16%"
"1988/08/18","442.10","441.70","442.60","440.10","","0.27%"
"1988/08/17","440.90","438.80","441.00","437.10","","0.48%"
"1988/08/16","438.80","443.00","445.70","437.80","","-0.93%"
"1988/08/15","442.90","440.00","443.30","440.00","","0.39%"
"1988/08/12","441.20","438.70","445.00","438.50","","0.46%"
"1988/08/11","439.20","439.40","440.50","437.40","","-0.05%"
"1988/08/10","439.40","437.70","439.70","436.50","","0.37%"
"1988/08/09","437.80","439.20","439.80","433.00","","-0.68%"
"1988/08/08","440.80","442.20","443.80","440.00","","-0.41%"
"1988/08/05","442.60","442.50","444.40","441.20","","-0.27%"
"1988/08/04","443.80","443.50","445.10","442.60","","-0.11%"
"1988/08/03","444.30","442.80","446.00","442.30","","0.41%"
"1988/08/02","442.50","444.60","445.00","442.00","","-0.70%"
"1988/08/01","445.60","447.60","448.60","443.70","","-0.38%"
"1988/07/29","447.30","444.00","449.30","444.00","","0.79%"
"1988/07/28","443.80","442.20","445.70","440.60","","2.38%"
"1988/07/27","433.50","430.90","434.10","430.60","","0.42%"
"1988/07/26","431.70","429.00","434.30","428.70","","1.20%"
"1988/07/25","426.60","441.80","442.00","424.00","","-3.68%"
"1988/07/22","442.90","443.50","444.30","442.20","","0.05%"
"1988/07/21","442.70","445.20","448.80","442.00","","-0.67%"
"1988/07/20","445.70","446.50","447.80","445.00","","-0.40%"
"1988/07/19","447.50","438.80","449.00","437.00","","1.98%"
"1988/07/18","438.80","436.50","440.20","435.10","","-0.57%"
"1988/07/15","441.30","440.00","443.50","438.50","","0.32%"
"1988/07/14","439.90","441.50","443.70","439.70","","-0.43%"
"1988/07/13","441.80","437.80","443.00","435.30","","0.71%"
"1988/07/12","438.70","435.50","438.80","434.20","","0.53%"
"1988/07/11","436.40","441.30","441.40","435.70","","-1.04%"
"1988/07/08","441.00","440.60","442.20","439.50","","-0.02%"
"1988/07/07","441.10","441.80","443.70","440.00","","0.09%"
"1988/07/06","440.70","440.00","441.10","438.50","","0.09%"
"1988/07/05","440.30","439.50","440.60","437.60","","0.16%"
"1988/07/01","439.60","438.50","440.40","436.10","","0.43%"
"1988/06/30","437.70","439.50","439.90","435.20","","-0.14%"
"1988/06/29","438.30","437.30","439.20","432.30","","-0.50%"
"1988/06/28","440.50","447.00","447.70","439.80","","-1.21%"
"1988/06/27","445.90","445.30","447.20","443.90","","-0.02%"
"1988/06/24","446.00","449.00","449.20","443.50","","-1.09%"
"1988/06/23","450.90","450.00","453.10","449.60","","-0.46%"
"1988/06/22","453.00","452.00","453.40","450.60","","-0.53%"
"1988/06/21","455.40","455.70","458.00","454.20","","0.20%"
"1988/06/20","454.50","457.80","458.50","453.50","","-0.83%"
"1988/06/17","458.30","453.70","459.80","453.20","","0.97%"
"1988/06/16","453.90","456.70","459.00","453.10","","-0.42%"
"1988/06/15","455.80","455.20","457.80","454.70","","0.26%"
"1988/06/14","454.60","454.80","455.40","450.30","","0.18%"
"1988/06/13","453.80","453.50","454.30","452.40","","0.11%"
"1988/06/10","453.30","463.00","463.40","452.10","","-1.82%"
"1988/06/09","461.70","459.00","463.30","458.80","","0.22%"
"1988/06/08","460.70","462.80","464.40","460.50","","-0.88%"
"1988/06/07","464.80","468.50","470.00","464.60","","-0.70%"
"1988/06/06","468.10","469.50","470.30","467.30","","-0.26%"
"1988/06/03","469.30","470.00","473.80","468.50","","-0.47%"
"1988/06/02","471.50","459.80","472.50","457.80","","1.97%"
"1988/06/01","462.40","461.60","463.30","460.30","","0.57%"
"1988/05/31","459.80","459.00","461.00","458.70","","2.00%"
"1988/05/27","450.80","453.30","453.60","450.20","","-0.73%"
"1988/05/26","454.10","454.60","455.60","452.30","","-0.15%"
"1988/05/25","454.80","455.20","456.60","453.80","","-1.37%"
"1988/05/24","461.10","460.50","462.40","458.70","","-0.37%"
"1988/05/23","462.80","461.50","463.00","459.00","","0.89%"
"1988/05/20","458.70","458.20","459.20","456.50","","0.11%"
"1988/05/19","458.20","462.00","462.30","458.00","","0.02%"
"1988/05/18","458.10","456.00","458.60","455.50","","0.37%"
"1988/05/17","456.40","456.00","458.50","453.30","","0.09%"
"1988/05/16","456.00","455.70","458.30","455.00","","0.51%"
"1988/05/13","453.70","453.00","454.20","450.80","","0.09%"
"1988/05/12","453.30","450.70","454.80","449.80","","0.47%"
"1988/05/11","451.20","451.20","452.40","449.70","","-0.09%"
"1988/05/10","451.60","449.00","452.70","448.00","","0.62%"
"1988/05/09","448.80","445.80","449.20","445.50","","0.79%"
"1988/05/06","445.30","446.80","449.00","443.60","","-0.38%"
"1988/05/05","447.00","446.80","448.00","445.80","","0.09%"
"1988/05/04","446.60","444.20","446.90","444.20","","0.34%"
"1988/05/03","445.10","446.60","448.70","445.00","","-0.47%"
"1988/05/02","447.20","449.50","449.50","446.00","","-1.19%"
"1988/04/29","452.60","452.20","453.40","450.80","","0.00%"
"1988/04/28","452.60","454.20","454.80","452.50","","-0.37%"
"1988/04/27","454.30","451.00","455.00","450.80","","0.66%"
"1988/04/26","451.30","451.50","452.70","448.20","","0.27%"
"1988/04/25","450.10","452.60","453.20","449.30","","-0.51%"
"1988/04/22","452.40","453.50","453.70","451.00","","-1.05%"
"1988/04/21","457.20","457.10","458.00","456.70","","-0.39%"
"1988/04/20","459.00","462.10","463.50","458.00","","-0.30%"
"1988/04/19","460.40","459.70","460.70","459.00","","-0.28%"
"1988/04/18","461.70","463.00","464.00","461.30","","0.70%"
"1988/04/15","458.50","456.60","461.00","456.60","","0.44%"
"1988/04/14","456.50","450.00","457.80","449.80","","1.53%"
"1988/04/13","449.60","452.20","453.70","449.40","","-0.90%"
"1988/04/12","453.70","454.00","455.00","453.00","","-0.22%"
"1988/04/11","454.70","450.70","455.50","450.30","","0.22%"
"1988/04/08","453.70","452.00","454.80","451.70","","0.22%"
"1988/04/07","452.70","450.00","453.40","448.80","","0.31%"
"1988/04/06","451.30","453.60","454.00","450.40","","-1.07%"
"1988/04/05","456.20","457.00","458.20","454.30","","-0.72%"
"1988/04/04","459.50","461.50","462.90","459.00","","0.35%"
"1988/03/31","457.90","461.50","463.20","457.50","","-0.74%"
"1988/03/30","461.30","458.80","462.30","457.00","","1.25%"
"1988/03/29","455.60","455.00","457.80","454.50","","-0.07%"
"1988/03/28","455.90","454.50","456.20","453.10","","0.57%"
"1988/03/25","453.30","452.50","454.20","450.90","","-0.22%"
"1988/03/24","454.30","456.50","457.40","451.30","","0.51%"
"1988/03/23","452.00","450.20","454.00","449.00","","0.53%"
"1988/03/22","449.60","449.50","451.20","447.60","","-0.13%"
"1988/03/21","450.20","446.50","452.90","446.40","","1.12%"
"1988/03/18","445.20","444.00","446.20","443.40","","0.07%"
"1988/03/17","444.90","447.00","447.50","442.10","","-0.36%"
"1988/03/16","446.50","448.50","449.20","446.30","","-0.22%"
"1988/03/15","447.50","443.60","448.30","442.80","","0.99%"
"1988/03/14","443.10","442.80","443.50","441.70","","0.11%"
"1988/03/11","442.60","445.20","445.50","441.20","","-0.43%"
"1988/03/10","444.50","444.00","444.80","441.50","","1.60%"
"1988/03/09","437.50","437.00","438.80","436.80","","0.21%"
"1988/03/08","436.60","437.50","440.50","436.40","","-0.46%"
"1988/03/07","438.60","436.50","438.90","436.20","","-0.05%"
"1988/03/04","438.80","431.30","440.50","431.20","","2.26%"
"1988/03/03","429.10","429.50","433.00","428.30","","-0.72%"
"1988/03/02","432.20","431.80","433.30","428.50","","-0.05%"
"1988/03/01","432.40","430.50","433.00","425.90","","0.12%"
"1988/02/29","431.90","427.00","432.30","425.10","","0.19%"
"1988/02/26","431.10","434.50","434.90","430.20","","-0.83%"
"1988/02/25","434.70","435.50","436.80","429.30","","0.14%"
"1988/02/24","434.10","436.00","438.70","433.80","","-2.30%"
"1988/02/23","444.30","445.50","446.70","442.80","","-0.74%"
"1988/02/22","447.60","447.00","449.70","447.00","","-0.09%"
"1988/02/19","448.00","446.50","449.40","445.10","","0.49%"
"1988/02/18","445.80","450.20","451.40","445.00","","-0.76%"
"1988/02/17","449.20","448.50","450.50","448.00","","0.36%"
"1988/02/16","447.60","447.50","448.50","446.30","","-0.25%"
"1988/02/12","448.70","443.00","449.50","435.00","","1.24%"
"1988/02/11","443.20","443.70","444.50","442.30","","-0.16%"
"1988/02/10","443.90","446.30","448.20","443.20","","-0.22%"
"1988/02/09","444.90","442.00","446.20","440.00","","0.20%"
"1988/02/08","444.00","445.50","447.30","443.80","","0.18%"
"1988/02/05","443.20","448.50","449.00","439.80","","-1.12%"
"1988/02/04","448.20","443.50","448.50","442.80","","1.29%"
"1988/02/03","442.50","447.70","449.80","442.00","","-3.45%"
"1988/02/02","458.30","460.00","461.90","458.10","","-0.02%"
"1988/02/01","458.40","458.50","459.20","454.20","","-0.02%"
"1988/01/29","458.50","465.00","466.00","454.00","","-2.76%"
"1988/01/28","471.50","471.00","472.00","470.40","","0.96%"
"1988/01/27","467.00","468.20","470.50","463.50","","-0.49%"
"1988/01/26","469.30","469.00","470.90","467.10","","-0.04%"
"1988/01/25","469.50","476.50","476.90","468.20","","-1.74%"
"1988/01/22","477.80","477.70","478.50","476.00","","-0.21%"
"1988/01/21","478.80","476.30","479.00","475.80","","0.42%"
"1988/01/20","476.80","478.20","478.90","475.00","","-0.29%"
"1988/01/19","478.20","477.30","478.80","476.40","","0.29%"
"1988/01/18","476.80","476.50","477.30","475.20","","0.48%"
"1988/01/15","474.50","486.20","486.70","474.00","","-2.81%"
"1988/01/14","488.20","481.80","488.50","481.20","","1.37%"
"1988/01/13","481.60","482.50","484.40","481.50","","-0.15%"
"1988/01/12","482.30","482.50","483.90","480.00","","-0.27%"
"1988/01/11","483.60","486.40","486.80","483.10","","-0.39%"
"1988/01/08","485.50","482.50","485.70","481.80","","0.50%"
"1988/01/07","483.10","485.20","486.00","482.80","","-0.45%"
"1988/01/06","485.30","480.50","487.40","480.00","","0.43%"
"1988/01/05","483.20","479.00","485.40","476.60","","0.56%"
"1988/01/04","480.50","484.00","484.50","479.50","","-1.72%"
"1987/12/31","488.90","490.00","491.50","485.80","","0.70%"
"1987/12/30","485.50","488.00","488.00","484.60","","-0.80%"
"1987/12/29","489.40","493.00","493.50","487.80","","-0.35%"
