transaction_id,order_id,customer_id,product_id,product_name,category,quantity,unit_price,total_amount,discount_amount,tax_amount,final_amount,payment_method,order_status,region,country,date,customer_segment,month,year
TXN_000001,ORD_0710,CUST_0415,PROD_137,Beauty Nail Polish,Beauty,3,63.79,191.38,0.0,16.59,207.97,Digital Wallet,Completed,South,Thailand,2025-03-24 16:48:46.528781,New,2025-03,2025
TXN_000002,ORD_0354,CUST_0328,PROD_234,Books Non-Fiction,Books,2,46.81,93.63,13.4,10.16,90.39,Debit Card,Pending,North,Malaysia,2025-08-29 16:48:46.528892,Regular,2025-08,2025
TXN_000003,ORD_0205,CUST_0698,PROD_031,Clothing Dress,Clothing,4,125.26,501.04,0.0,61.71,562.75,Credit Card,Completed,West,Singapore,2025-09-17 16:48:46.528964,New,2025-09,2025
TXN_000004,ORD_0669,CUST_0213,PROD_155,Beauty Nail Polish,Beauty,3,40.29,120.86,0.0,13.86,134.72,Cash,Completed,East,Malaysia,2025-10-12 16:48:46.529034,Regular,2025-10,2025
TXN_000005,ORD_2722,CUST_1235,PROD_367,Electronics Headphones,Electronics,3,331.92,995.77,0.0,138.71,1134.48,Cash,Completed,West,Malaysia,2025-09-09 16:48:46.529101,Regular,2025-09,2025
TXN_000006,ORD_2942,CUST_0019,PROD_122,Sports Tennis Racket,Sports,4,165.64,662.56,0.0,82.1,744.66,Digital Wallet,Completed,North,Malaysia,2025-01-31 16:48:46.529169,Regular,2025-01,2025
TXN_000007,ORD_0598,CUST_0719,PROD_402,Books Comic,Books,4,44.45,177.8,0.0,25.91,203.71,Credit Card,Completed,South,Vietnam,2025-05-19 16:48:46.529235,Regular,2025-05,2025
TXN_000008,ORD_0741,CUST_0798,PROD_077,Beauty Perfume,Beauty,2,25.62,51.25,0.0,3.96,55.21,Credit Card,Completed,West,Singapore,2025-10-08 16:48:46.529300,Regular,2025-10,2025
TXN_000009,ORD_2404,CUST_1751,PROD_436,Food Chocolate,Food,1,19.68,19.68,0.0,2.76,22.44,Cash,Completed,West,Indonesia,2025-06-24 16:48:46.529365,New,2025-06,2025
TXN_000010,ORD_0797,CUST_1857,PROD_162,Books Magazine,Books,3,25.7,77.09,0.0,10.46,87.55,Bank Transfer,Completed,South,Indonesia,2025-10-21 16:48:46.529432,Regular,2025-10,2025
TXN_000011,ORD_0883,CUST_0697,PROD_199,Beauty Perfume,Beauty,1,9.72,9.72,0.0,1.25,10.97,Bank Transfer,Completed,South,Singapore,2025-08-19 16:48:46.529497,Regular,2025-08,2025
TXN_000012,ORD_1819,CUST_0191,PROD_058,Home & Garden Table,Home & Garden,4,97.72,390.9,38.17,52.24,404.96,Bank Transfer,Completed,South,Vietnam,2025-11-27 16:48:46.529565,Regular,2025-11,2025
TXN_000013,ORD_0235,CUST_1588,PROD_233,Clothing Shoes,Clothing,2,50.79,101.57,0.0,10.94,112.52,Bank Transfer,Completed,Central,Indonesia,2025-07-11 16:48:46.529630,Regular,2025-07,2025
TXN_000014,ORD_0487,CUST_0360,PROD_166,Home & Garden Table,Home & Garden,3,935.39,2806.18,318.34,288.48,2776.32,Digital Wallet,Completed,West,Indonesia,2025-10-26 16:48:46.529697,New,2025-10,2025
TXN_000015,ORD_2890,CUST_0795,PROD_291,Sports Dumbbells,Sports,3,153.12,459.37,0.0,43.31,502.68,Digital Wallet,Completed,West,Indonesia,2025-06-27 16:48:46.529762,Loyal,2025-06,2025
TXN_000016,ORD_0731,CUST_1549,PROD_312,Food Beverages,Food,4,19.79,79.17,0.0,4.96,84.12,Digital Wallet,Completed,Central,Indonesia,2025-05-06 16:48:46.529829,New,2025-05,2025
TXN_000017,ORD_1014,CUST_0705,PROD_090,Sports Bike,Sports,4,44.63,178.5,0.0,19.8,198.3,Cash,Completed,South,Singapore,2024-12-10 16:48:46.529896,Regular,2024-12,2024
TXN_000018,ORD_2416,CUST_0901,PROD_092,Beauty Cream,Beauty,3,76.08,228.23,37.83,27.61,218.01,Credit Card,Completed,West,Indonesia,2025-03-12 16:48:46.529965,Regular,2025-03,2025
TXN_000019,ORD_0496,CUST_0206,PROD_191,Electronics Smartphone,Electronics,1,760.42,760.42,0.0,73.07,833.49,Cash,Completed,South,Singapore,2025-05-19 16:48:46.530030,Regular,2025-05,2025
TXN_000020,ORD_1085,CUST_1104,PROD_299,Home & Garden Table,Home & Garden,3,103.4,310.2,0.0,19.64,329.85,Digital Wallet,Completed,East,Vietnam,2024-12-27 16:48:46.530094,New,2024-12,2024
TXN_000021,ORD_1672,CUST_1251,PROD_499,Food Snacks,Food,4,15.23,60.92,0.0,8.3,69.22,Bank Transfer,Shipped,East,Singapore,2025-04-18 16:48:46.530159,Regular,2025-04,2025
TXN_000022,ORD_0439,CUST_0527,PROD_330,Electronics Headphones,Electronics,4,1311.61,5246.43,0.0,483.52,5729.95,Digital Wallet,Completed,Central,Vietnam,2025-11-29 16:48:46.530244,Regular,2025-11,2025
TXN_000023,ORD_1152,CUST_1680,PROD_458,Books Textbook,Books,3,28.89,86.68,0.0,6.63,93.31,Digital Wallet,Completed,South,Indonesia,2025-05-08 16:48:46.530310,Regular,2025-05,2025
TXN_000024,ORD_0499,CUST_1729,PROD_387,Home & Garden Sofa,Home & Garden,3,495.08,1485.25,0.0,113.8,1599.04,Debit Card,Completed,West,Indonesia,2025-11-15 16:48:46.530376,Regular,2025-11,2025
TXN_000025,ORD_1695,CUST_0579,PROD_320,Books Non-Fiction,Books,3,47.64,142.93,24.99,8.38,126.32,Debit Card,Completed,West,Singapore,2025-08-24 16:48:46.530443,New,2025-08,2025
TXN_000026,ORD_0724,CUST_0227,PROD_114,Beauty Nail Polish,Beauty,1,60.62,60.62,0.0,8.63,69.25,Debit Card,Completed,East,Vietnam,2025-07-19 16:48:46.530509,Regular,2025-07,2025
TXN_000027,ORD_0128,CUST_1987,PROD_264,Food Coffee,Food,2,7.1,14.19,0.0,0.96,15.15,Cash,Completed,North,Vietnam,2025-09-24 16:48:46.530575,Regular,2025-09,2025
TXN_000028,ORD_2057,CUST_0509,PROD_072,Sports Yoga Mat,Sports,2,189.95,379.89,0.0,54.11,434.0,Bank Transfer,Delivered,East,Indonesia,2024-12-17 16:48:46.530640,VIP,2024-12,2024
TXN_000029,ORD_0745,CUST_1251,PROD_156,Clothing T-Shirt,Clothing,2,154.72,309.45,0.0,37.32,346.77,Debit Card,Pending,East,Malaysia,2025-08-29 16:48:46.530707,Regular,2025-08,2025
