respondent_id,age_group,gender,income_level,education_level,brand_awareness,satisfaction,loyalty,monthly_spending,purchase_frequency,preferred_category,preferred_channel,pain_points,preferred_communication,nps_score,survey_date
R001,25-34,Prefer not to say,$25K-$50K,Bachelor's,Moderate,Very Satisfied,Loyal,157.39,Monthly,Health & Beauty,Online,"[np.str_('Bad customer service'), np.str_('Lack of trust'), np.str_('High prices'), np.str_('Poor quality'), np.str_('Limited payment options')]","[np.str_('Social Media'), np.str_('Email')]",4.1,2025-12-04 12:18:18.492641
R002,25-34,Prefer not to say,Under $25K,Master's,Very Low,Dissatisfied,Neutral,136.12,Monthly,Food & Beverage,Social Commerce,"[np.str_('Limited payment options'), np.str_('Slow delivery'), np.str_('High prices')]","[np.str_('Social Media'), np.str_('SMS')]",7.9,2025-12-04 12:18:18.497099
R003,25-34,Female,$25K-$50K,Master's,Moderate,Neutral,Anti-loyal,214.64,Quarterly,Fashion,Mobile App,"[np.str_('Lack of trust'), np.str_('Return difficulties'), np.str_('Bad customer service'), np.str_('Poor quality')]","[np.str_('Email'), np.str_('Website')]",9.4,2025-11-30 12:18:18.497980
R004,25-34,Prefer not to say,$25K-$50K,Some College,Moderate,Neutral,Anti-loyal,105.5,Rarely,Home & Garden,Mobile App,"[np.str_('Slow delivery'), np.str_('High prices')]",[np.str_('Social Media')],7.5,2025-11-26 12:18:18.501391
R005,18-24,Male,Over $100K,Master's,Very High,Satisfied,Anti-loyal,174.18,Quarterly,Electronics,In-store,"[np.str_('Limited product variety'), np.str_('Poor quality'), np.str_('Slow delivery'), np.str_('Bad customer service')]","[np.str_('Website'), np.str_('SMS')]",5.1,2025-12-09 12:18:18.504639
R006,55+,Female,Over $100K,Master's,High,Dissatisfied,Anti-loyal,43.06,Quarterly,Health & Beauty,Online,"[np.str_('Poor mobile experience'), np.str_('Limited product variety')]","[np.str_('Social Media'), np.str_('Website')]",6.5,2025-11-18 12:18:18.507712
R007,25-34,Male,$50K-$75K,Bachelor's,High,Neutral,Not Loyal,105.46,Monthly,Food & Beverage,Social Commerce,[np.str_('Return difficulties')],"[np.str_('Mobile App'), np.str_('Email'), np.str_('Social Media')]",4.1,2025-11-19 12:18:18.511031
R008,18-24,Male,$50K-$75K,Bachelor's,High,Satisfied,Loyal,169.33,Quarterly,Home & Garden,Mobile App,"[np.str_('High prices'), np.str_('Lack of trust'), np.str_('Limited payment options')]","[np.str_('Email'), np.str_('Mobile App')]",0.9,2025-11-11 12:18:18.516684
R009,45-54,Female,$50K-$75K,Master's,Very Low,Satisfied,Not Loyal,169.8,Weekly,Fashion,Online,"[np.str_('Limited payment options'), np.str_('Slow delivery'), np.str_('Poor mobile experience'), np.str_('Return difficulties')]","[np.str_('Mobile App'), np.str_('SMS'), np.str_('Website')]",5.9,2025-11-19 12:18:18.517741
R010,18-24,Prefer not to say,Under $25K,Bachelor's,Very Low,Dissatisfied,Not Loyal,241.29,Quarterly,Home & Garden,Social Commerce,"[np.str_('Limited payment options'), np.str_('Poor mobile experience'), np.str_('Outdated website'), np.str_('Limited product variety'), np.str_('High prices')]","[np.str_('Social Media'), np.str_('SMS'), np.str_('Website')]",1.9,2025-12-02 12:18:18.518662
