date,disaster_type,location,title,source,category,wind_speed,rainfall,casualties,damages,forecast,url,scrape_time
2023-10-01,"Bão, áp thấp nhiệt đới",Biển Đông,"Tháng 10-2023, khả năng xuất hiện 1-2 cơn bão, áp thấp nhiệt đới trên Biển Đông",Sài Gòn Giải Phóng,Thiên tai khí tượng – thủy văn,,,,,"Ngày 1-10, nhận định về các hình thái thời thời tiết trong tháng 10-2023, Phó Trưởng phòng Dự báo khí hậu, Trung tâm Dự báo khí tượng thủy văn quốc gia Nguyễn Đức Hòa cho biết, trong tháng 10, có khả năng xuất hiện trên khu vực Biển Đông khoảng từ 1-2 cơn bão, áp thấp nhiệt đới và có thể ảnh hưởng đến đất liền nước ta",https://www.sggp.org.vn/thang-10-2023-kha-nang-xuat-hien-1-2-con-bao-ap-thap-nhiet-doi-tren-bien-dong-post707910.html,2025-12-06T13:30:27.914832
2016-11-06,"Bão, áp thấp nhiệt đới","Bình Định, Phú Yên, Khánh Hòa, Ninh Thuận, Bình Thuận, Tây Ninh, Đồng Nai, Gia Lai, Đắk Lắk, Lâm Đồng, Đắk Nông, Biển Đông","Bão, áp thấp nhiệt đới năm nay kéo dài tới tháng 1 và 2-2017",Sài Gòn Giải Phóng,Thiên tai khí tượng – thủy văn,cấp 6,20-50mm,,124 tỷ đồng,"Theo dự báo, bão và áp thấp nhiệt đới trong năm nay sẽ còn ảnh hưởng kéo dài đến thời tiết nước ta sang đầu năm 2017",https://www.sggp.org.vn/bao-ap-thap-nhiet-doi-nam-nay-keo-dai-toi-thang-1-va-2-2017-post164091.html,2025-12-06T13:30:28.563045
2016-08-10,"Bão, áp thấp nhiệt đới","Đồng Nai, Biển Đông","Chủ động ứng phó với bão, áp thấp nhiệt đới",Sài Gòn Giải Phóng,Thiên tai khí tượng – thủy văn,,50mm,,,"Theo dự báo của các trung tâm khí tượng lớn trên thế giới, trong các tháng sắp tới nhiều khả năng ENSO sẽ chuyển sang La Nina với xác suất khoảng 50% - 60%",https://www.sggp.org.vn/chu-dong-ung-pho-voi-bao-ap-thap-nhiet-doi-post167452.html,2025-12-06T13:30:29.184958
2025-11-11,"Bão, áp thấp nhiệt đới",Quảng Ngãi,"Bản tin 17 GIỜ 11-11: Từ nay đến giữa tháng 12 khả năng xuất hiện 1-2 cơn bão, áp thấp nhiệt đới",Sài Gòn Giải Phóng,Thiên tai khí tượng – thủy văn,,,,,,https://www.sggp.org.vn/ban-tin-17-gio-11-11-tu-nay-den-giua-thang-12-kha-nang-xuat-hien-1-2-con-bao-ap-thap-nhiet-doi-post822944.html,2025-12-06T13:30:30.139768
2020-11-06,"Bão, áp thấp nhiệt đới","Hà Nội, Thanh Hóa, Hà Tĩnh, Quảng Bình, Quảng Trị, Đà Nẵng, Quảng Nam, Quảng Ngãi, Bình Định, Phú Yên, Ninh Thuận, Bình Thuận, Gia Lai, Đắk Lắk, Kon Tum, Biển Đông, Hoàng Sa","Gần Biển Đông lại có bão, áp thấp nhiệt đới gây mưa lớn ở miền Trung",Sài Gòn Giải Phóng,Thiên tai khí tượng – thủy văn,cấp 8-9,100-200mm,,,"Dự báo trong 24 giờ tới, bão di chuyển theo hướng Tây Bắc, mỗi giờ đi được 15km",https://www.sggp.org.vn/gan-bien-dong-lai-co-bao-ap-thap-nhiet-doi-gay-mua-lon-o-mien-trung-post574217.html,2025-12-06T13:30:33.912273
2025-12-06,"Bão, áp thấp nhiệt đới","Quảng Ninh, Hải Phòng, Quảng Ngãi",Thủ tướng Phạm Minh Chính chủ trì phiên họp Chính phủ thường kỳ tháng 11,VietnamNet,Thiên tai khí tượng – thủy văn,,,,,Nhiều tổ chức quốc tế tiếp tục đánh giá tích cực và dự báo lạc quan về phát triển kinh tế của nước ta trong năm 2025,https://vietnamnet.vn/thu-tuong-pham-minh-chinh-chu-tri-phien-hop-chinh-phu-thuong-ky-thang-11-2469987.html,2025-12-06T13:30:38.345903
2025-07-23,"Bão, áp thấp nhiệt đới","Quảng Ninh, Thanh Hóa, Nghệ An, Biển Đông",Áp thấp nhiệt đới vào Biển Đông,VnExpress,Thiên tai khí tượng – thủy văn,"cấp 6-7, giật cấp 9",487 mm,,,"Trung tâm Dự báo Khí tượng Thủy văn quốc gia cho biết lúc 13h ngày 23/7, áp thấp nhiệt đới ở đông bắc Biển Đông, sức gió mạnh nhất 61 km/h, cấp 6-7, giật cấp 9 và đang theo hướng tây tây nam với tốc độ 10-15 km/h",https://vnexpress.net/ap-thap-nhiet-doi-vao-bien-dong-4918014.html,2025-12-06T13:30:32.170470
2025-10-06,"Bão, áp thấp nhiệt đới","Quảng Ninh, Hải Phòng, Hà Nội, Thanh Hóa, Biển Đông, vịnh Bắc Bộ","Áp thấp nhiệt đới có thể gây mưa lớn ở trung du, miền núi phía Bắc",VnExpress,Thiên tai khí tượng – thủy văn,cấp 7,100-200 mm,,,"Trung tâm Dự báo Khí tượng Thủy văn quốc gia cho biết sức gió mạnh nhất của áp thấp nhiệt đới là 61 km/h, cấp 7, giật tăng hai cấp",https://vnexpress.net/bao-matmo-suy-yeu-thanh-ap-thap-nhiet-doi-4947635.html,2025-12-06T13:30:34.047381
2025-12-04,"Bão, áp thấp nhiệt đới","Quảng Trị, Thừa Thiên Huế, Khánh Hòa, Biển Đông",Biển Đông có thể sắp xuất hiện bão số 16,VnExpress,Thiên tai khí tượng – thủy văn,cấp 17,,409 người chết,97.000 tỷ đồng,"Dự báo ngày 6-7/12, hình thái này vượt qua Philippines và vào Biển Đông, sau đó có khả năng mạnh lên thành bão thứ 16 trong năm",https://vnexpress.net/bien-dong-co-the-sap-xuat-hien-bao-so-16-4989636.html,2025-12-06T13:30:34.722438
2025-07-05,"Bão, áp thấp nhiệt đới","Quảng Bình, Quảng Trị, Đà Nẵng, Biển Đông",Áp thấp nhiệt đới mạnh lên thành bão,VnExpress,Thiên tai khí tượng – thủy văn,"cấp 8, giật cấp 10",300-650 mm,11 người chết,,Trung tâm Dự báo Khí tượng Thủy văn quốc gia cho biết cơn bão thứ hai trên Biển Đông trong năm 2025 mang tên Danas,https://vnexpress.net/ap-thap-nhiet-doi-manh-len-thanh-bao-4910398.html,2025-12-06T13:30:35.979646
2025-11-28,"Bão, áp thấp nhiệt đới","Gia Lai, Biển Đông",Thêm một áp thấp nhiệt đới gần Biển Đông,VnExpress,Thiên tai khí tượng – thủy văn,"cấp 6-7, giật cấp 9",,,85.000 tỷ đồng,"Trung tâm Dự báo Khí tượng Thủy văn quốc gia cho biết áp thấp nhiệt đới hình thành gần xích đạo, đi qua Malaysia từ Ấn Độ Dương và vào Thái Bình Dương - quỹ đạo được đánh giá rất hiếm trong lịch sử khí tượng",https://vnexpress.net/them-mot-ap-thap-nhiet-doi-hoat-dong-gan-bien-dong-4987402.html,2025-12-06T13:30:37.419882
2025-10-16,"Bão, áp thấp nhiệt đới","Biển Đông, Hoàng Sa","Biển Đông còn khoảng ba cơn bão, áp thấp nhiệt đới",VnExpress,Thiên tai khí tượng – thủy văn,,,241 người chết,53.800 tỷ đồng,"Hiện nay trên vùng biển phía Đông của Philippines có một áp thấp nhiệt đới mới hình thành, dự báo 1-2 ngày tới có khả năng mạnh lên thành bão với xác suất 70-80% và sẽ di chuyển vào phía bắc của Biển Đông vào ngày 19-20/10",https://vnexpress.net/bien-dong-con-khoang-ba-con-bao-ap-thap-nhiet-doi-4952323.html,2025-12-06T13:30:39.382670
2025-11-24,"Bão, áp thấp nhiệt đới","Biển Đông, Trường Sa",Áp thấp nhiệt đới xuất hiện gần Biển Đông,VnExpress,Thiên tai khí tượng – thủy văn,"cấp 7, giật cấp 9",,,,"Trung tâm Dự báo Khí tượng Thủy văn quốc gia cho biết lúc 8h hôm nay, áp thấp nhiệt đới trên vùng biển phía đông miền Trung Philippines, sức gió mạnh nhất 61 km/h, cấp 7, giật cấp 9 và đang theo hướng tây tây bắc với tốc độ 20 km/h",https://vnexpress.net/ap-thap-nhiet-doi-xuat-hien-gan-bien-dong-4985331.html,2025-12-06T13:30:41.062889
2025-08-17,"Bão, áp thấp nhiệt đới","Quảng Ninh, Thanh Hóa, Nghệ An, Khánh Hòa, Biển Đông, Hoàng Sa, vịnh Bắc Bộ",Áp thấp nhiệt đới hướng vịnh Bắc Bộ,VnExpress,Thiên tai khí tượng – thủy văn,"cấp 6, giật cấp 8",,,,"Trung tâm Dự báo Khí tượng Thủy văn quốc gia cho biết lúc 7h hôm nay, áp thấp nhiệt đới mạnh 49 km/h, cấp 6, giật cấp 8 trên vùng biển tây bắc đặc khu Hoàng Sa",https://vnexpress.net/ap-thap-nhiet-doi-huong-vinh-bac-bo-4927833.html,2025-12-06T13:30:42.439967
2025-06-14,"Bão, áp thấp nhiệt đới","Quảng Bình, Quảng Trị, Đà Nẵng, Biển Đông",Bão Wutip suy yếu thành áp thấp nhiệt đới,VnExpress,Thiên tai khí tượng – thủy văn,"cấp 7, giật cấp 9",300-650 mm,11 người chết,,"Trung tâm Dự báo Khí tượng Thủy văn quốc gia cho biết lúc 22h, tâm áp thấp nằm phía tây nam tỉnh Quảng Đông, sức gió mạnh nhất cấp 7, giật cấp 9",https://vnexpress.net/bao-wutip-suy-yeu-thanh-ap-thap-nhiet-doi-4898896.html,2025-12-06T13:30:44.732701
2025-10-22,"Bão, áp thấp nhiệt đới","Hà Tĩnh, Quảng Trị, Đà Nẵng, Quảng Ngãi, Biển Đông, Hoàng Sa","Bão Fengshen suy yếu, áp thấp nhiệt đới mới hình thành gần Biển Đông",VnExpress,Thiên tai khí tượng – thủy văn,"cấp 7, giật cấp 9",100-200 mm,,,"Trung tâm Dự báo Khí tượng Thủy văn quốc gia cho biết áp thấp nhiệt đới đang theo hướng nam tây nam với tốc độ 10-15 km/h, trong 12 giờ tới sẽ vào Đà Nẵng - Quảng Ngãi, tiếp tục suy yếu thành vùng áp thấp",https://vnexpress.net/bao-fengshen-suy-yeu-ap-thap-nhiet-doi-moi-hinh-thanh-gan-bien-dong-4954623.html,2025-12-06T13:30:46.196407
2025-11-29,"Bão, áp thấp nhiệt đới","Quảng Trị, Đà Nẵng, Gia Lai, Biển Đông","Áp thấp nhiệt đới suy yếu, bão Koto giữ cấp 9",VnExpress,Thiên tai khí tượng – thủy văn,"cấp 9, giật cấp 11",,,85.000 tỷ đồng,"Trung tâm Dự báo Khí tượng Thủy văn quốc gia cho biết lúc 16h hôm nay, bão Koto trên vùng biển tây bắc của giữa Biển Đông, sức gió mạnh nhất 88 km/h, cấp 9, giật cấp 11 và theo hướng bắc với tốc độ 5 km/h",https://vnexpress.net/ap-thap-nhiet-doi-suy-yeu-bao-koto-giu-cap-9-4987764.html,2025-12-06T13:30:46.826335
