date,disaster_type,event_name,event_confidence,location,location_confidence,severity_level,start_time,start_time_confidence,peak_time,peak_time_confidence,end_time,end_time_confidence,title,source,category,wind_speed,rainfall,casualties,damages,extraction_quality,qa_flags,url,scrape_time
2016-11-06,"Bão, áp thấp nhiệt đới",,0.0,,0.0,Nhẹ,2-2017,0.6000000000000001,,,,,"Bão, áp thấp nhiệt đới năm nay kéo dài tới tháng 1 và 2-2017",Sài Gòn Giải Phóng,Thiên tai khí tượng – thủy văn,cấp 6,730 mm,,124.0 tỷ đồng,0.75,MISSING_LOCATION;,https://www.sggp.org.vn/bao-ap-thap-nhiet-doi-nam-nay-keo-dai-toi-thang-1-va-2-2017-post164091.html,2025-12-06T13:30:28.563045
2025-10-06,"Bão, áp thấp nhiệt đới",Bão Bualoi,0.95,,0.0,Nhẹ,,,,,,,"Áp thấp nhiệt đới có thể gây mưa lớn ở trung du, miền núi phía Bắc",VnExpress,Thiên tai khí tượng – thủy văn,cấp 6,50 mm,,,0.725,MISSING_LOCATION;,https://vnexpress.net/bao-matmo-suy-yeu-thanh-ap-thap-nhiet-doi-4947635.html,2025-12-06T13:30:34.047381
2025-07-05,"Bão, áp thấp nhiệt đới",Bão Danas,0.95,,0.0,Nhẹ,2025,0.5800000000000001,,,,,Áp thấp nhiệt đới mạnh lên thành bão,VnExpress,Thiên tai khí tượng – thủy văn,cấp 7,,11 người chết,,0.725,MISSING_LOCATION;,https://vnexpress.net/ap-thap-nhiet-doi-manh-len-thanh-bao-4910398.html,2025-12-06T13:30:35.979646
2025-10-22,"Bão, áp thấp nhiệt đới",Bão Fengshen,0.95,,0.0,Nhẹ,,,,,,,"Bão Fengshen suy yếu, áp thấp nhiệt đới mới hình thành gần Biển Đông",VnExpress,Thiên tai khí tượng – thủy văn,cấp 6,200 mm,,,0.725,MISSING_LOCATION;,https://vnexpress.net/bao-fengshen-suy-yeu-ap-thap-nhiet-doi-moi-hinh-thanh-gan-bien-dong-4954623.html,2025-12-06T13:30:46.196407
2025-11-25,"Bão, áp thấp nhiệt đới",Bão Wutip,0.95,,0.0,Nghiêm trọng,2025,0.5800000000000001,,,,,Hôm nay áp thấp nhiệt đới khả năng mạnh lên thành bão,VnExpress,Thiên tai khí tượng – thủy văn,cấp 10,,"91 người chết, 11 người mất tích",,0.725,MISSING_LOCATION;,https://vnexpress.net/hom-nay-ap-thap-nhiet-doi-kha-nang-manh-len-thanh-bao-4985759.html,2025-12-06T13:30:51.174694
2025-08-27,"Bão, áp thấp nhiệt đới",Bão Kajiki,0.95,,0.0,Nhẹ,,,,,,,Áp thấp nhiệt đới hình thành trên Biển Đông,VnExpress,Thiên tai khí tượng – thủy văn,cấp 6,,"47 người bị thương, 5 người mất tích",,0.725,MISSING_LOCATION;,https://vnexpress.net/ap-thap-nhiet-doi-hinh-thanh-tren-bien-dong-4932051.html,2025-12-06T13:30:52.413482
2025-11-25,"Bão, áp thấp nhiệt đới",Bão Wutip,0.95,,0.0,Nghiêm trọng,11-1/12,0.68,,,,,Áp thấp nhiệt đới mạnh lên thành bão,VnExpress,Thiên tai khí tượng – thủy văn,cấp 10,,"409 người chết, 727 người bị thương",,0.725,MISSING_LOCATION;,https://vnexpress.net/ap-thap-nhiet-doi-manh-len-thanh-bao-4986026.html,2025-12-06T13:30:58.907251
2025-10-23,"Bão, áp thấp nhiệt đới",Bão Wutip,0.95,,0.0,Nhẹ,2013,0.5800000000000001,,,,,Áp thấp nhiệt đới vào Biển Đông,VnExpress,Thiên tai khí tượng – thủy văn,cấp 6,,"241 người chết, 389 người bị thương",,0.725,MISSING_LOCATION;,https://vnexpress.net/ap-thap-nhiet-doi-vao-bien-dong-4954952.html,2025-12-06T13:31:09.080355
2025-09-25,"Bão, áp thấp nhiệt đới",Bão Bualoi,0.95,,0.0,Nhẹ,2024,0.5800000000000001,,,,,Bão Ragasa suy yếu thành áp thấp nhiệt đới,VnExpress,Thiên tai khí tượng – thủy văn,cấp 7,,"15 người chết, 17 người mất tích",,0.725,MISSING_LOCATION;,https://vnexpress.net/bao-ragasa-suy-yeu-thanh-ap-thap-nhiet-doi-4943499.html,2025-12-06T13:31:11.743588
2025-08-26,"Bão, áp thấp nhiệt đới",Bão Kajiki,0.95,,0.0,Nhẹ,,,,,,,Bão Kajiki suy yếu thành áp thấp nhiệt đới,VnExpress,Thiên tai khí tượng – thủy văn,cấp 6,75 mm,,,0.725,MISSING_LOCATION;,https://vnexpress.net/bao-kajiki-suy-yeu-thanh-ap-thap-nhiet-doi-4931438.html,2025-12-06T13:31:14.425373
2025-10-01,"Bão, áp thấp nhiệt đới",Bão Bualoi,0.95,,0.0,Nhẹ,4-6/10,0.63,,,,,Áp thấp nhiệt đới xuất hiện gần Biển Đông,VnExpress,Thiên tai khí tượng – thủy văn,cấp 5,,"29 người chết, 139 người bị thương, 22 người mất tích",,0.725,MISSING_LOCATION;,https://vnexpress.net/ap-thap-nhiet-doi-xuat-hien-gan-bien-dong-4945937.html,2025-12-06T13:31:17.986206
2025-10-18,"Bão, áp thấp nhiệt đới",Bão Wutip,0.95,,0.0,Nhẹ,,,,,,,Áp thấp nhiệt đới gần Biển Đông mạnh lên thành bão,VnExpress,Thiên tai khí tượng – thủy văn,cấp 4,,"241 người chết, 389 người bị thương",,0.725,MISSING_LOCATION;,https://vnexpress.net/ap-thap-nhiet-doi-gan-bien-dong-manh-len-thanh-bao-4952806.html,2025-12-06T13:31:23.519494
2025-10-22,"Bão, áp thấp nhiệt đới",Bão Wutip,0.95,,0.0,Nhẹ,2013,0.5800000000000001,,,,,Áp thấp nhiệt đới xuất hiện gần Biển Đông,VnExpress,Thiên tai khí tượng – thủy văn,cấp 6,,"241 người chết, 389 người bị thương",,0.725,MISSING_LOCATION;,https://vnexpress.net/ap-thap-nhiet-doi-xuat-hien-gan-bien-dong-4954588.html,2025-12-06T13:31:26.827190
