Date,Predicted_Price
2025-11-30,1187.5187
2025-12-31,1182.6514
2026-01-31,1182.2129
2026-02-28,1184.904
2026-03-31,1190.6309
2026-04-30,1198.4987
2026-05-31,1211.0277
2026-06-30,1222.1221
2026-07-31,1233.1665
2026-08-31,1245.0192
2026-09-30,1257.7477
2026-10-31,1270.268
2026-11-30,1280.3306
2026-12-31,1293.8607
2027-01-31,1307.0045
2027-02-28,1319.9558
2027-03-31,1332.7817
2027-04-30,1345.5156
2027-05-31,1358.1495
2027-06-30,1370.7733
2027-07-31,1383.2638
2027-08-31,1395.5668
2027-09-30,1407.666
2027-10-31,1419.5502
2027-11-30,1431.1738
2027-12-31,1442.4132
2028-01-31,1453.3662
2028-02-29,1463.9836
2028-03-31,1474.2343
2028-04-30,1484.0934
2028-05-31,1493.5415
2028-06-30,1502.5626
2028-07-31,1511.1467
2028-08-31,1519.2839
2028-09-30,1526.965
2028-10-31,1534.184
2028-11-30,1540.9393
2028-12-31,1547.2305
2029-01-31,1553.0566
2029-02-28,1558.4237
2029-03-31,1563.339
2029-04-30,1567.8109
2029-05-31,1571.851
2029-06-30,1575.4719
2029-07-31,1578.6887
2029-08-31,1581.5171
2029-09-30,1583.9749
2029-10-31,1586.0806
2029-11-30,1587.8541
2029-12-31,1589.316
2030-01-31,1590.4868
2030-02-28,1591.3872
2030-03-31,1592.0392
2030-04-30,1592.4636
2030-05-31,1592.6814
2030-06-30,1592.7131
2030-07-31,1592.579
2030-08-31,1592.2983
2030-09-30,1591.8893
2030-10-31,1591.3702
