"Date","Price","Open","High","Low","Vol.","Change %"
"2006/12/29","638.00","637.10","639.10","634.50","39.66K","0.17%"
"2006/12/28","636.90","629.40","638.20","629.20","39.66K","1.05%"
"2006/12/27","630.30","627.10","632.00","626.50","22.88K","0.54%"
"2006/12/26","626.90","625.00","632.40","624.70","29.42K","0.74%"
"2006/12/22","622.30","620.90","624.60","620.90","12.83K","0.11%"
"2006/12/21","621.60","623.80","625.40","620.60","26.42K","-0.43%"
"2006/12/20","624.30","626.40","627.90","622.10","37.33K","-0.18%"
"2006/12/19","625.40","618.80","626.50","618.30","36.74K","1.21%"
"2006/12/18","617.90","619.10","621.90","615.00","46.69K","-0.19%"
"2006/12/15","619.10","629.40","633.20","617.50","65.37K","-1.87%"
"2006/12/14","630.90","631.80","634.00","629.00","25.49K","-0.24%"
"2006/12/13","632.40","632.50","634.80","627.50","40.18K","0.11%"
"2006/12/12","631.70","634.90","635.50","630.90","29.18K","-0.49%"
"2006/12/11","634.80","629.50","635.20","627.30","38.95K","0.60%"
"2006/12/08","631.00","638.50","642.80","628.20","55.28K","-0.94%"
"2006/12/07","637.00","635.70","639.00","629.20","56.36K","0.17%"
"2006/12/06","635.90","647.50","648.80","631.50","49.43K","-1.85%"
"2006/12/05","647.90","651.50","654.20","643.70","44.39K","-0.46%"
"2006/12/04","650.90","651.20","651.70","645.70","36.34K","0.05%"
"2006/12/01","650.60","655.00","655.80","649.20","26.30K","-0.35%"
"2006/11/30","652.90","646.50","654.50","641.20","32.10K","1.73%"
"2006/11/29","641.80","644.70","646.80","640.60","39.76K","0.71%"
"2006/11/28","637.30","640.60","641.90","632.50","82.65K","-0.52%"
"2006/11/27","640.60","629.90","641.80","629.50","59.68K","1.84%"
"2006/11/24","629.00","639.90","641.80","629.00","48.07K","0.00%"
"2006/11/22","629.00","630.00","635.00","626.40","48.07K","0.05%"
"2006/11/21","628.70","621.30","629.00","621.30","45.65K","1.06%"
"2006/11/20","622.10","622.80","627.50","620.50","39.26K","-0.06%"
"2006/11/17","622.50","621.70","622.90","614.50","31.28K","0.13%"
"2006/11/16","621.70","623.90","629.50","621.10","28.33K","-0.34%"
"2006/11/15","623.80","624.20","625.80","616.00","36.75K","-0.24%"
"2006/11/14","625.30","626.70","630.50","619.50","45.97K","-0.08%"
"2006/11/13","625.80","628.70","633.90","621.50","34.04K","-0.68%"
"2006/11/10","630.10","632.50","638.00","626.50","47.55K","-1.05%"
"2006/11/09","636.80","623.00","637.20","614.50","48.63K","2.99%"
"2006/11/08","618.30","628.50","629.20","617.80","47.67K","-1.53%"
"2006/11/07","627.90","625.80","631.20","623.70","32.24K","0.00%"
