order_id,customer_id,order_date,product_name,category,unit_price,unit_cost,quantity,total_revenue,total_cost,profit,customer_age,customer_region,year,month,quarter,profit_margin,cost_percentage
ORD_20230000,CUST_5426,2025-05-10,Home & Garden_Sofa,Home & Garden,1111.39,644.16,7,7779.74,4509.12,3270.62,36,Central,2025,5,2,42.04,57.96
ORD_20230001,CUST_7949,2023-03-29,Beauty_Perfume,Beauty,18.57,11.06,5,92.86,55.28,37.58,19,Online,2023,3,1,40.47,59.53
ORD_20230002,CUST_3558,2024-01-21,Home & Garden_Washing Machine,Home & Garden,945.35,551.61,9,8508.13,4964.46,3543.67,66,Central,2024,1,1,41.65,58.35
ORD_20230003,CUST_2267,2024-11-30,Home & Garden_Table,Home & Garden,387.52,165.54,3,1416.55,496.62,919.93,61,Central,2024,11,4,64.94,35.06
ORD_20230004,CUST_8513,2024-10-08,Home & Garden_Washing Machine,Home & Garden,703.22,284.09,9,6329.02,2556.79,3772.22,31,South,2024,10,4,59.6,40.4
ORD_20230005,CUST_1775,2024-07-18,Electronics_Laptop,Electronics,1400.04,744.89,7,9800.3,5214.21,4586.09,61,North,2024,7,3,46.8,53.2
ORD_20230006,CUST_4843,2023-02-04,Clothing_Socks,Clothing,90.39,41.1,4,361.56,164.39,197.17,19,South,2023,2,1,54.53,45.47
ORD_20230007,CUST_8629,2024-12-03,Home & Garden_Lamp,Home & Garden,1173.94,800.45,4,5349.41,3201.81,2147.6,31,Central,2024,12,4,40.15,59.85
ORD_20230008,CUST_5859,2025-10-13,Food_Coffee,Food,17.2,10.74,5,86.01,53.69,32.32,41,South,2025,10,4,37.58,62.42
ORD_20230009,CUST_3568,2023-07-07,Food_Cereals,Food,4.54,2.91,1,5.29,2.91,2.38,42,Central,2023,7,3,44.99,55.01
ORD_20230010,CUST_6892,2024-10-09,Books_Textbook,Books,10.56,4.86,8,84.51,38.84,45.66,52,Central,2024,10,4,54.03,45.96
ORD_20230011,CUST_3454,2023-08-19,Food_Tea,Food,18.47,12.1,2,42.49,24.2,18.3,50,Online,2023,8,3,43.07,56.95
ORD_20230012,CUST_9110,2025-03-15,Beauty_Cream,Beauty,61.17,29.51,3,183.52,88.53,94.99,18,Central,2025,3,1,51.76,48.24
ORD_20230013,CUST_1206,2024-10-04,Electronics_Smartphone,Electronics,1471.29,692.67,7,10299.0,4848.72,5450.28,44,North,2024,10,4,52.92,47.08
ORD_20230014,CUST_6116,2025-11-04,Books_Comic,Books,11.02,4.76,7,92.67,33.34,59.33,66,Online,2025,11,4,64.02,35.98
ORD_20230015,CUST_4157,2024-04-29,Books_Non-Fiction,Books,34.18,19.21,4,136.71,76.82,59.88,30,Online,2024,4,2,43.8,56.19
ORD_20230016,CUST_4627,2024-07-31,Food_Chocolate,Food,16.55,9.76,6,110.44,58.58,51.87,45,Online,2024,7,3,46.97,53.04
ORD_20230017,CUST_6864,2023-07-09,Sports_Swimming Goggles,Sports,92.56,55.01,9,912.75,495.07,417.68,69,North,2023,7,3,45.76,54.24
ORD_20230018,CUST_1663,2024-12-10,Clothing_T-Shirt,Clothing,116.14,63.35,1,149.65,63.35,86.3,68,South,2024,12,4,57.67,42.33
ORD_20230019,CUST_1698,2024-03-17,Clothing_Shoes,Clothing,65.32,35.87,1,65.32,35.87,29.45,54,North,2024,3,1,45.09,54.91
ORD_20230020,CUST_7528,2023-04-23,Electronics_Laptop,Electronics,1055.09,438.33,5,5275.45,2191.65,3083.8,49,North,2023,4,2,58.46,41.54
ORD_20230021,CUST_1202,2025-12-12,Food_Beverages,Food,10.06,5.69,7,82.67,39.85,42.82,21,Central,2025,12,4,51.8,48.2
ORD_20230022,CUST_7287,2024-02-05,Beauty_Nail Polish,Beauty,39.94,23.55,6,239.64,141.31,98.32,39,Central,2024,2,1,41.03,58.97
ORD_20230023,CUST_8098,2024-08-31,Clothing_Jeans,Clothing,77.74,35.45,3,233.22,106.34,126.88,37,Online,2024,8,3,54.4,45.6
ORD_20230024,CUST_3976,2024-02-07,Books_Comic,Books,30.48,14.26,7,213.39,99.85,113.53,69,North,2024,2,1,53.2,46.79
ORD_20230025,CUST_6534,2024-07-04,Home & Garden_Lamp,Home & Garden,1264.68,762.23,9,11382.12,6860.08,4522.03,42,South,2024,7,3,39.73,60.27
ORD_20230026,CUST_6423,2023-09-20,Home & Garden_Table,Home & Garden,1234.97,699.69,1,1234.97,699.69,535.29,19,North,2023,9,3,43.34,56.66
ORD_20230027,CUST_4170,2023-09-11,Clothing_Shoes,Clothing,120.49,80.1,7,843.45,560.72,282.73,26,North,2023,9,3,33.52,66.48
ORD_20230028,CUST_2648,2025-03-26,Home & Garden_Table,Home & Garden,1350.81,899.81,8,10806.48,7198.48,3608.0,50,Online,2025,3,1,33.39,66.61
ORD_20230029,CUST_3961,2023-04-14,Home & Garden_Refrigerator,Home & Garden,892.0,456.42,9,8027.96,4107.79,3920.17,52,North,2023,4,2,48.83,51.17
ORD_20230030,CUST_6699,2025-05-27,Home & Garden_Lamp,Home & Garden,754.14,403.11,9,6787.26,3627.98,3159.28,53,North,2025,5,2,46.55,53.45
