date,disaster_type,event_name,location,impact_area,severity_level,title,source,category,wind_speed,rainfall,casualties,damages,damages_normalized,url,scrape_time
2023-10-01,"Bão, áp thấp nhiệt đới",,"Tây Nguyên, Biển Đông, Nam Bộ, Bắc Bộ, Trung Bộ","Tây Nguyên, Biển Đông, Nam Bộ, Bắc Bộ, Trung Bộ",Không xác định,"Tháng 10-2023, khả năng xuất hiện 1-2 cơn bão, áp thấp nhiệt đới trên Biển Đông",Sài Gòn Giải Phóng,Thiên tai khí tượng – thủy văn,,,,,,https://www.sggp.org.vn/thang-10-2023-kha-nang-xuat-hien-1-2-con-bao-ap-thap-nhiet-doi-tren-bien-dong-post707910.html,2025-12-06T13:30:27.914832
2025-11-11,"Bão, áp thấp nhiệt đới",,Quảng Ngãi,Quảng Ngãi,Không xác định,"Bản tin 17 GIỜ 11-11: Từ nay đến giữa tháng 12 khả năng xuất hiện 1-2 cơn bão, áp thấp nhiệt đới",Sài Gòn Giải Phóng,Thiên tai khí tượng – thủy văn,,,,,,https://www.sggp.org.vn/ban-tin-17-gio-11-11-tu-nay-den-giua-thang-12-kha-nang-xuat-hien-1-2-con-bao-ap-thap-nhiet-doi-post822944.html,2025-12-06T13:30:30.139768
2020-11-06,"Bão, áp thấp nhiệt đới",Bão Atsani,"Đà Nẵng, Tây Nguyên, Đắk Lắk, Thanh Hóa, Quảng Ngãi","Đà Nẵng, Tây Nguyên, Đắk Lắk, Thanh Hóa, Quảng Ngãi",Nhẹ,"Gần Biển Đông lại có bão, áp thấp nhiệt đới gây mưa lớn ở miền Trung",Sài Gòn Giải Phóng,Thiên tai khí tượng – thủy văn,"cấp 6, giật cấp 9",100-200 mm,,,,https://www.sggp.org.vn/gan-bien-dong-lai-co-bao-ap-thap-nhiet-doi-gay-mua-lon-o-mien-trung-post574217.html,2025-12-06T13:30:33.912273
2025-12-06,"Bão, áp thấp nhiệt đới",Lũ lụt vượt mức lịch sử,"Bắc Ninh, Trung Bộ, Quảng Ninh, Quảng Ngãi, Hải Phòng","Bắc Ninh, Trung Bộ, Quảng Ninh, Quảng Ngãi, Hải Phòng",Không xác định,Thủ tướng Phạm Minh Chính chủ trì phiên họp Chính phủ thường kỳ tháng 11,VietnamNet,Thiên tai khí tượng – thủy văn,,,,,,https://vietnamnet.vn/thu-tuong-pham-minh-chinh-chu-tri-phien-hop-chinh-phu-thuong-ky-thang-11-2469987.html,2025-12-06T13:30:38.345903
2025-07-23,"Bão, áp thấp nhiệt đới",,"Hưng Yên, Nghệ An, Ninh Bình, Biển Đông, Quảng Ninh","Hưng Yên, Nghệ An, Ninh Bình, Biển Đông, Quảng Ninh",Nhẹ,Áp thấp nhiệt đới vào Biển Đông,VnExpress,Thiên tai khí tượng – thủy văn,"cấp 7, giật cấp 9",,,,,https://vnexpress.net/ap-thap-nhiet-doi-vao-bien-dong-4918014.html,2025-12-06T13:30:32.170470
2025-10-06,"Bão, áp thấp nhiệt đới",Bão Bualoi,"Hưng Yên, Lào Cai, Cao Bằng, Quảng Ninh, Vịnh Bắc Bộ","Hưng Yên, Lào Cai, Cao Bằng, Quảng Ninh, Vịnh Bắc Bộ",Nhẹ,"Áp thấp nhiệt đới có thể gây mưa lớn ở trung du, miền núi phía Bắc",VnExpress,Thiên tai khí tượng – thủy văn,"cấp 6, giật cấp 8",100-200 mm,,,,https://vnexpress.net/bao-matmo-suy-yeu-thanh-ap-thap-nhiet-doi-4947635.html,2025-12-06T13:30:34.047381
2025-12-04,"Bão, áp thấp nhiệt đới",Bão Koto,"Biển Đông, Quảng Trị, Khánh Hòa, Tây Nguyên, Trung Bộ","Biển Đông, Quảng Trị, Khánh Hòa, Tây Nguyên, Trung Bộ",Không xác định,Biển Đông có thể sắp xuất hiện bão số 16,VnExpress,Thiên tai khí tượng – thủy văn,,,409 người chết,,,https://vnexpress.net/bien-dong-co-the-sap-xuat-hien-bao-so-16-4989636.html,2025-12-06T13:30:34.722438
2025-07-05,"Bão, áp thấp nhiệt đới",Bão Danas,"Trung Bộ, Miền Bắc, Đà Nẵng, Quảng Trị, Biển Đông","Trung Bộ, Miền Bắc, Đà Nẵng, Quảng Trị, Biển Đông",Nhẹ,Áp thấp nhiệt đới mạnh lên thành bão,VnExpress,Thiên tai khí tượng – thủy văn,"cấp 7, giật cấp 10",,11 người chết,,,https://vnexpress.net/ap-thap-nhiet-doi-manh-len-thanh-bao-4910398.html,2025-12-06T13:30:35.979646
2025-11-28,"Bão, áp thấp nhiệt đới",Bão Senyar,"Bình Dương, Trung Bộ, Gia Lai, Biển Đông, Thái Bình","Bình Dương, Trung Bộ, Gia Lai, Biển Đông, Thái Bình",Nhẹ,Thêm một áp thấp nhiệt đới gần Biển Đông,VnExpress,Thiên tai khí tượng – thủy văn,"cấp 6, giật cấp 9",,409 người chết,,,https://vnexpress.net/them-mot-ap-thap-nhiet-doi-hoat-dong-gan-bien-dong-4987402.html,2025-12-06T13:30:37.419882
2025-10-16,"Bão, áp thấp nhiệt đới",Bão Wutip,"Cao Bằng, Miền Bắc, Biển Đông, Thái Nguyên, Lạng Sơn","Cao Bằng, Miền Bắc, Biển Đông, Thái Nguyên, Lạng Sơn",Không xác định,"Biển Đông còn khoảng ba cơn bão, áp thấp nhiệt đới",VnExpress,Thiên tai khí tượng – thủy văn,,,"241 người chết, 389 người bị thương",,,https://vnexpress.net/bien-dong-con-khoang-ba-con-bao-ap-thap-nhiet-doi-4952323.html,2025-12-06T13:30:39.382670
2025-11-24,"Bão, áp thấp nhiệt đới",Bão Wutip,"Trường Sa, Biển Đông, Miền Bắc, Trung Bộ, Miền Trung","Trường Sa, Biển Đông, Miền Bắc, Trung Bộ, Miền Trung",Trung bình,Áp thấp nhiệt đới xuất hiện gần Biển Đông,VnExpress,Thiên tai khí tượng – thủy văn,"cấp 9, giật cấp 9",,,,,https://vnexpress.net/ap-thap-nhiet-doi-xuat-hien-gan-bien-dong-4985331.html,2025-12-06T13:30:41.062889
2025-08-17,"Bão, áp thấp nhiệt đới",,"Khánh Hòa, Thanh Hóa, Nghệ An, Hoàng Sa, Bắc Bộ","Khánh Hòa, Thanh Hóa, Nghệ An, Hoàng Sa, Bắc Bộ",Nhẹ,Áp thấp nhiệt đới hướng vịnh Bắc Bộ,VnExpress,Thiên tai khí tượng – thủy văn,"cấp 6, giật cấp 8",,5 người bị thương,,,https://vnexpress.net/ap-thap-nhiet-doi-huong-vinh-bac-bo-4927833.html,2025-12-06T13:30:42.439967
2025-06-14,"Bão, áp thấp nhiệt đới",,"Quảng Bình, Đà Nẵng, Trung Bộ, Nam Bộ, Bắc Bộ","Quảng Bình, Đà Nẵng, Trung Bộ, Nam Bộ, Bắc Bộ",Không xác định,Bão Wutip suy yếu thành áp thấp nhiệt đới,VnExpress,Thiên tai khí tượng – thủy văn,,,11 người chết,,,https://vnexpress.net/bao-wutip-suy-yeu-thanh-ap-thap-nhiet-doi-4898896.html,2025-12-06T13:30:44.732701
2025-10-22,"Bão, áp thấp nhiệt đới",Bão Fengshen,"Miền Bắc, Quảng Trị, Biển Đông, Hà Tĩnh, Miền Trung","Miền Bắc, Quảng Trị, Biển Đông, Hà Tĩnh, Miền Trung",Nhẹ,"Bão Fengshen suy yếu, áp thấp nhiệt đới mới hình thành gần Biển Đông",VnExpress,Thiên tai khí tượng – thủy văn,"cấp 6, giật cấp 9",100-200 mm,,,,https://vnexpress.net/bao-fengshen-suy-yeu-ap-thap-nhiet-doi-moi-hinh-thanh-gan-bien-dong-4954623.html,2025-12-06T13:30:46.196407
2025-11-29,"Bão, áp thấp nhiệt đới",Bão Koto,"Biển Đông, Quảng Trị, Đà Nẵng, Gia Lai, Miền Trung","Biển Đông, Quảng Trị, Đà Nẵng, Gia Lai, Miền Trung",Trung bình,"Áp thấp nhiệt đới suy yếu, bão Koto giữ cấp 9",VnExpress,Thiên tai khí tượng – thủy văn,"cấp 8, giật cấp 11",,"409 người chết, 727 người bị thương",,,https://vnexpress.net/ap-thap-nhiet-doi-suy-yeu-bao-koto-giu-cap-9-4987764.html,2025-12-06T13:30:46.826335
2025-09-18,"Bão, áp thấp nhiệt đới",Bão Tapah,"Hà Tĩnh, Nghệ An, Trung Bộ, Quảng Trị, Biển Đông","Hà Tĩnh, Nghệ An, Trung Bộ, Quảng Trị, Biển Đông",Không xác định,"Áp thấp nhiệt đới vào Biển Đông, sắp mạnh lên thành bão",VnExpress,Thiên tai khí tượng – thủy văn,,,,,,https://vnexpress.net/ap-thap-nhiet-doi-vao-bien-dong-sap-manh-len-thanh-bao-4940474.html,2025-12-06T13:30:48.328402
2025-09-16,"Bão, áp thấp nhiệt đới",,"Trung Bộ, Nghệ An, Biển Đông, Hà Tĩnh, Quảng Trị","Trung Bộ, Nghệ An, Biển Đông, Hà Tĩnh, Quảng Trị",Trung bình,Áp thấp nhiệt đới xuất hiện gần Biển Đông,VnExpress,Thiên tai khí tượng – thủy văn,"cấp 8, giật cấp 9",,,,,https://vnexpress.net/ap-thap-nhiet-doi-xuat-hien-gan-bien-dong-4939826.html,2025-12-06T13:30:49.708548
2025-11-25,"Bão, áp thấp nhiệt đới",Bão Wutip,"Miền Bắc, Quảng Trị, Biển Đông, An Giang, Miền Trung","Miền Bắc, Quảng Trị, Biển Đông, An Giang, Miền Trung",Nghiêm trọng,Hôm nay áp thấp nhiệt đới khả năng mạnh lên thành bão,VnExpress,Thiên tai khí tượng – thủy văn,"cấp 10, giật cấp 9",,"91 người chết, 11 người mất tích",,,https://vnexpress.net/hom-nay-ap-thap-nhiet-doi-kha-nang-manh-len-thanh-bao-4985759.html,2025-12-06T13:30:51.174694
2025-08-27,"Bão, áp thấp nhiệt đới",Bão Kajiki,"Yên Bái, Biển Đông, Hoàng Sa, Lào Cai, Bắc Ninh","Yên Bái, Biển Đông, Hoàng Sa, Lào Cai, Bắc Ninh",Nhẹ,Áp thấp nhiệt đới hình thành trên Biển Đông,VnExpress,Thiên tai khí tượng – thủy văn,"cấp 6, giật cấp 8",,"47 người bị thương, 5 người mất tích",,,https://vnexpress.net/ap-thap-nhiet-doi-hinh-thanh-tren-bien-dong-4932051.html,2025-12-06T13:30:52.413482
2025-06-10,"Bão, áp thấp nhiệt đới",,"Hoàng Sa, Kiên Giang, Quảng Ninh, Hải Phòng, Biển Đông","Hoàng Sa, Kiên Giang, Quảng Ninh, Hải Phòng, Biển Đông",Nhẹ,Áp thấp nhiệt đới hình thành trên Biển Đông,VnExpress,Thiên tai khí tượng – thủy văn,"cấp 6, giật cấp 9",,,,,https://vnexpress.net/ap-thap-nhiet-doi-hinh-thanh-tren-bien-dong-4896717.html,2025-12-06T13:30:53.865399
2025-09-06,"Bão, áp thấp nhiệt đới",Bão Nongfa,"Thanh Hóa, Biển Đông, Quảng Ninh, Hà Tĩnh, Miền Trung","Thanh Hóa, Biển Đông, Quảng Ninh, Hà Tĩnh, Miền Trung",Nhẹ,Áp thấp nhiệt đới mạnh lên thành bão trong hôm nay,VnExpress,Thiên tai khí tượng – thủy văn,"cấp 6, giật cấp 9",,"9 người chết, 77 người bị thương",,,https://vnexpress.net/ap-thap-nhiet-doi-o-bien-dong-nguy-co-manh-thanh-bao-4935782.html,2025-12-06T13:30:57.252394
2025-11-25,"Bão, áp thấp nhiệt đới",Bão Wutip,"Miền Bắc, Lâm Đồng, Bình Định, Quảng Trị, Biển Đông","Miền Bắc, Lâm Đồng, Bình Định, Quảng Trị, Biển Đông",Nghiêm trọng,Áp thấp nhiệt đới mạnh lên thành bão,VnExpress,Thiên tai khí tượng – thủy văn,"cấp 10, giật cấp 10",,"409 người chết, 727 người bị thương",,,https://vnexpress.net/ap-thap-nhiet-doi-manh-len-thanh-bao-4986026.html,2025-12-06T13:30:58.907251
2025-08-16,"Bão, áp thấp nhiệt đới",,"Hưng Yên, Ninh Bình, Biển Đông, Hoàng Sa, Vịnh Bắc Bộ","Hưng Yên, Ninh Bình, Biển Đông, Hoàng Sa, Vịnh Bắc Bộ",Nhẹ,Áp thấp nhiệt đới hình thành trên Biển Đông,VnExpress,Thiên tai khí tượng – thủy văn,"cấp 6, giật cấp 8",,5 người bị thương,,,https://vnexpress.net/ap-thap-nhiet-doi-hinh-thanh-tren-bien-dong-4927759.html,2025-12-06T13:31:03.364103
2025-09-18,"Bão, áp thấp nhiệt đới",Bão Mitag,"Hà Tĩnh, Nghệ An, Trung Bộ, Bắc Bộ, Miền Bắc","Hà Tĩnh, Nghệ An, Trung Bộ, Bắc Bộ, Miền Bắc",Rất nghiêm trọng,Áp thấp nhiệt đới mạnh lên thành bão,VnExpress,Thiên tai khí tượng – thủy văn,"cấp 72, giật cấp 10",,,,,https://vnexpress.net/ap-thap-nhiet-doi-manh-len-thanh-bao-4940688.html,2025-12-06T13:31:05.283206
2025-06-11,"Bão, áp thấp nhiệt đới",,"Hải Phòng, Trung Bộ, Nam Bộ, Hà Nội, Biển Đông","Hải Phòng, Trung Bộ, Nam Bộ, Hà Nội, Biển Đông",Rất nghiêm trọng,Áp thấp nhiệt đới mạnh lên thành bão,VnExpress,Thiên tai khí tượng – thủy văn,"cấp 110, giật cấp 10",30-70 mm,,,,https://vnexpress.net/ap-thap-nhiet-doi-manh-len-thanh-bao-4897240.html,2025-12-06T13:31:07.737443
2025-10-23,"Bão, áp thấp nhiệt đới",Bão Wutip,"Khánh Hòa, Miền Bắc, Biển Đông, Nghệ An","Khánh Hòa, Miền Bắc, Biển Đông, Nghệ An",Nhẹ,Áp thấp nhiệt đới vào Biển Đông,VnExpress,Thiên tai khí tượng – thủy văn,"cấp 6, giật cấp 8",,"241 người chết, 389 người bị thương",,,https://vnexpress.net/ap-thap-nhiet-doi-vao-bien-dong-4954952.html,2025-12-06T13:31:09.080355
2025-09-25,"Bão, áp thấp nhiệt đới",Bão Ragasa,"Hưng Yên, Ninh Bình, Biển Đông, Đà Nẵng, Nghệ An","Hưng Yên, Ninh Bình, Biển Đông, Đà Nẵng, Nghệ An",Nhẹ,Bão Ragasa suy yếu thành áp thấp nhiệt đới,VnExpress,Thiên tai khí tượng – thủy văn,"cấp 7, giật cấp 8",80-180 mm,"15 người chết, 17 người mất tích",,,https://vnexpress.net/bao-ragasa-suy-yeu-thanh-ap-thap-nhiet-doi-4943499.html,2025-12-06T13:31:11.743588
2025-11-29,"Bão, áp thấp nhiệt đới",Bão Senyar,"Khánh Hòa, Bình Dương, Trung Bộ, Thái Bình, An Giang","Khánh Hòa, Bình Dương, Trung Bộ, Thái Bình, An Giang",Nhẹ,Áp thấp nhiệt đới từ Ấn Độ Dương vào Biển Đông,VnExpress,Thiên tai khí tượng – thủy văn,"cấp 7, giật cấp 9",,409 người chết,,,https://vnexpress.net/ap-thap-nhiet-doi-tu-an-do-duong-vao-bien-dong-4987576.html,2025-12-06T13:31:12.756509
2025-08-26,"Bão, áp thấp nhiệt đới",Bão Kajiki,"Lào Cai, Sơn La, Đà Nẵng, Trung Bộ, Nghệ An","Lào Cai, Sơn La, Đà Nẵng, Trung Bộ, Nghệ An",Nhẹ,Bão Kajiki suy yếu thành áp thấp nhiệt đới,VnExpress,Thiên tai khí tượng – thủy văn,"cấp 6, giật cấp 9",50-100 mm,,,,https://vnexpress.net/bao-kajiki-suy-yeu-thanh-ap-thap-nhiet-doi-4931438.html,2025-12-06T13:31:14.425373
2025-07-22,"Bão, áp thấp nhiệt đới",,"Hưng Yên, Lào Cai, Quảng Ninh, Vịnh Bắc Bộ, Thanh Hóa","Hưng Yên, Lào Cai, Quảng Ninh, Vịnh Bắc Bộ, Thanh Hóa",Nhẹ,Bão Wipha suy yếu thành áp thấp nhiệt đới,VnExpress,Thiên tai khí tượng – thủy văn,"cấp 7, giật cấp 9",100-200 mm,,,,https://vnexpress.net/bao-wipha-suy-yeu-thanh-ap-thap-nhiet-doi-4917542.html,2025-12-06T13:31:16.185442
