date,disaster_type,event_name,event_confidence,location,location_confidence,severity_level,start_time,start_time_confidence,peak_time,peak_time_confidence,end_time,end_time_confidence,title,source,category,wind_speed,rainfall,casualties,damages,extraction_quality,qa_flags,url,scrape_time
2002-05-03,Ô nhiễm môi trường nghiêm trọng,"Bão, áp thấp nhiệt đới Biển Đông",0.65,"Biển Đông, Tây Nguyên",1.0,Không xác định,,,,,,,Kiến nghị xử lý hơn 20 xí nghiệp gây ô nhiễm môi trường nghiêm trọng,Người Lao Động,Thiên tai môi trường – con người gây ra,,,,,0.5499999999999999,,https://www.sggp.org.vn/thang-10-2023-kha-nang-xuat-hien-1-2-con-bao-ap-thap-nhiet-doi-tren-bien-dong-post707910.html,2025-12-06T14:41:46.970655
2005-08-16,"Sự cố hóa chất, phóng xạ","Bão, áp thấp nhiệt đới Bình Định",0.65,"Bình Định, Phú Yên, Khánh Hòa, Ninh Thuận, Bình Thuận",0.9894444444444443,Nhẹ,,,,,,,Bùng nổ kỹ thuật an ninh dân sự,Sài Gòn Giải Phóng,Thiên tai môi trường – con người gây ra,cấp 6,730 mm,,124.0 tỷ đồng,0.7964814814814815,,https://www.sggp.org.vn/bao-ap-thap-nhiet-doi-nam-nay-keo-dai-toi-thang-1-va-2-2017-post164091.html,2025-12-06T14:47:41.496058
2006-12-26,"Sương muối, rét đậm – rét hại","Bão, áp thấp nhiệt đới Thái Bình",0.65,"Thái Bình, Nam Định, Đồng Nai, Kiên Giang, Cà Mau",0.9866666666666668,Không xác định,,,,,,,Tin vắn: Lào Cai xuất hiện rét đậm và sương muối,Tuổi Trẻ,Thiên tai khí tượng – thủy văn,,,,,0.5455555555555556,,https://www.sggp.org.vn/chu-dong-ung-pho-voi-bao-ap-thap-nhiet-doi-post167452.html,2025-12-06T13:59:26.803371
2007-02-02,Tràn dầu,"Bão, áp thấp nhiệt đới Quảng Ngãi",0.65,"Quảng Ngãi, Hồ Chí Minh, TP.HCM",0.96,Không xác định,,,,,,,Du khách đồng loạt rời Hội An sau sự cố tràn dầu,Dân Trí,Thiên tai môi trường – con người gây ra,,,,,0.5366666666666666,,https://www.sggp.org.vn/ban-tin-17-gio-11-11-tu-nay-den-giua-thang-12-kha-nang-xuat-hien-1-2-con-bao-ap-thap-nhiet-doi-post822944.html,2025-12-06T14:45:23.455348
2007-02-08,Tràn dầu,Bão Atsani,0.95,"Hà Nội, Đà Nẵng, Thanh Hóa, Hà Tĩnh, Quảng Bình",0.9964999999999999,Nhẹ,,,,,,,Vụ tràn dầu: Sẽ truy tìm thủ phạm để buộc bồi thường,Dân Trí,Thiên tai môi trường – con người gây ra,cấp 6,,,,0.7321666666666666,,https://www.sggp.org.vn/gan-bien-dong-lai-co-bao-ap-thap-nhiet-doi-gay-mua-lon-o-mien-trung-post574217.html,2025-12-06T14:45:00.532095
2007-04-16,"Lốc xoáy, vòi rồng","Bão, áp thấp nhiệt đới Hải Phòng",0.65,"Hải Phòng, Quảng Ninh, Phú Thọ, Bắc Ninh, Ninh Bình",0.99,Không xác định,,,,,,,Chưa thể dự báo được hiện tượng lốc xoáy,Dân Trí,Thiên tai khí tượng – thủy văn,,,,,0.5466666666666667,,https://vietnamnet.vn/thu-tuong-pham-minh-chinh-chu-tri-phien-hop-chinh-phu-thuong-ky-thang-11-2469987.html,2025-12-06T13:35:40.042879
2007-07-24,Dịch bệnh ở người,"Bão, áp thấp nhiệt đới Quảng Ninh",0.65,"Quảng Ninh, Hưng Yên, Ninh Bình, Thanh Hóa, Nghệ An",1.0,Không xác định,,,,,,,Chưa khoanh được vùng dịch liên cầu khuẩn ở lợn,Dân Trí,Thiên tai sinh học,,,,,0.5499999999999999,,https://vnexpress.net/ap-thap-nhiet-doi-vao-bien-dong-4918014.html,2025-12-06T14:24:00.473173
2007-09-25,"Sự cố hóa chất, phóng xạ",Bão Bualoi,0.95,"Hà Nội, Hải Phòng, Cao Bằng, Lào Cai, Lai Châu",1.0,Nhẹ,,,,,,,Giải thưởng môi trường đầu tiên dành cho doanh nghiệp,Sài Gòn Giải Phóng,Thiên tai môi trường – con người gây ra,cấp 6,50 mm,,,0.8166666666666668,,https://vnexpress.net/bao-matmo-suy-yeu-thanh-ap-thap-nhiet-doi-4947635.html,2025-12-06T14:47:33.891496
2008-01-10,Núi lửa phun,Bão Wutip,0.95,"Thái Bình, Quảng Trị, Thừa Thiên Huế, Khánh Hòa, Bình Dương",0.985,Không xác định,,,,,,,Ảnh đẹp về núi lửa phun trào,VnExpress,Thiên tai địa chất,,,409 người chết,,0.7283333333333334,,https://vnexpress.net/bien-dong-co-the-sap-xuat-hien-bao-so-16-4989636.html,2025-12-06T14:14:04.770892
2008-05-19,Mưa lớn kéo dài,Bão Danas,0.95,"Đà Nẵng, Quảng Bình, Quảng Trị, sông Hương, Biển Đông",0.9728571428571428,Nhẹ,,,,,,,Mưa lớn kéo dài nhiều giờ ở Hà Nội,VnExpress,Thiên tai khí tượng – thủy văn,cấp 7,,11 người chết,,0.8076190476190476,,https://vnexpress.net/ap-thap-nhiet-doi-manh-len-thanh-bao-4910398.html,2025-12-06T13:38:11.018156
