TT,Tên web,Ten_Tinh,Cơ quan quản lý,Chức năng chủ yếu,Link trang chủ
1,Báo tin tức,,Tin tức thông tấn xã Việt Nam,,https://baotintuc.vn/
2,Báo Sài gòn giải phóng,,,,https://www.sggp.org.vn/
3,vnexpress,,,,https://vnexpress.net/
4,vietnamnet,,,,https://vietnamnet.vn/
5,dantri,,,,https://dantri.com.vn/
6,baomoi,,,,https://baomoi.com/
7,Báo Thanh Niên,,,,https://thanhnien.vn/
8,Thông tấn xã Việt Nam,,,,https://vnanet.vn/
9,Báo Tuổi trẻ,,,,https://tuoitre.vn/
10,Báo Người Lao Động,,,,https://nld.com.vn/
11,Báo lao động,,Tổng Liên đoàn Lao động Việt Nam,,https://laodong.vn/
12,Báo quân đội nhân dân,,Cơ quan quân ủy trung ương và bộ quốc phòng,,https://www.qdnd.vn/
13,Cao Bằng online,Tỉnh Cao Bằng,Báo điện tử Cao Bằng,Thông tin về tỉnh Cao Bằng,http://baocaobang.vn/
14,Cổng thông tin điện tử tỉnh Tuyên Quang,Tỉnh Tuyên Quang,Ủy ban nhân dân tỉnh Tuyên Quang,Thông tin về tỉnh Tuyên Quang,https://tuyenquang.gov.vn/
15,Tuyên Quang online,Tỉnh Tuyên Quang,Tỉnh uỷ tỉnh Tuyên Quang,Thông tin về tỉnh Lào Cai,https://baotuyenquang.com.vn/
16,Cổng thông tin điện tử tỉnh Lào Cai,Tỉnh Lào Cai,Ủy ban nhân dân tỉnh Lào Cai,Thông tin về tỉnh Lào Cai,https://www.laocai.gov.vn/
17,Báo Lào Cai online,Tỉnh Lào Cai,Cơ quan Đảng bộ tỉnh Lào Cai,Thông tin tỉnh Lào Cai,http://baolaocai.vn/
18,Trang thông tin điện tử tổng hợp của Đài Phát thanh và Truyền hình tỉnh Điện Biên,Tỉnh Điện Biên,Đài phát thanh truyền hình tỉnh Điện Biên,Thông tin về tỉnh Điện Biên,https://dienbientv.vn/
19,Cổng thông tin điện tử tỉnh Lai Châu,Tỉnh Lai Châu,Ủy ban nhân dân tỉnh Lai Châu,Thông tin về tỉnh Lai Châu,http://laichau.gov.vn/
20,Báo Sơn La điện tử,Tỉnh Sơn La,Tỉnh ủy Yên Bái,Thông tin về tỉnh Yên Bái,http://www.baosonla.org.vn/
21,Báo Thái Nguyên điện tử,Tỉnh Thái Nguyên,Đảng bộ Thái Nguyên,Thông tin về tỉnh Thái Nguyên,http://baothainguyen.vn/
22,Báo Lạng Sơn điện tử,Tỉnh Lạng Sơn,Đảng bộ Lạng Sơn,Thông tin về tỉnh Lạng Sơn,https://baolangson.vn/
23,Quảng Ninh điện tử,Tỉnh Quảng Ninh,Đảng bộ Quảng Ninh,Thông tin về tỉnh Quảng Ninh,https://baoquangninh.com.vn/
24,Phú thọ điện tử,Tỉnh Phú Thọ,Đảng bộ Phú Thọ,Thông tin về tỉnh Phú Thọ,http://baophutho.vn/
25,Báo Ninh Bình điện tử,Tỉnh Ninh Bình,Đảng bộ Ninh Bình,Thông tin về tỉnh Ninh Bình,https://baoninhbinh.org.vn/
26,Báo Nghệ An điện tử,Tỉnh Nghệ An,Đảng bộ Nghệ An,Thông tin về tỉnh Nghệ An,https://baonghean.vn/
27,Báo Hà Tĩnh điện tử,Tỉnh Hà Tĩnh,Đảng bộ Hà Tĩnh,Thông tin về tỉnh Hà Tĩnh,https://baohatinh.vn/
28,Báo Quảng Trị điện tử,Tỉnh Quảng Trị,Đảng bộ Quảng Trị,Thông tin về tỉnh Quảng Trị,http://baoquangtri.vn/
29,Báo Thừa Thiên Huế điện tử,TP. Huế,Đài phát thanh truyền hình Huế,Thông tin về tỉnh Thừa Thiên Huế,https://huengaynay.vn/
30,Báo thành phố Đà Nẵng điện tử,Thành phố Đà Nẵng,Đảng bộ thành phố Đà Nẵng,Thông tin về tỉnh thành phố Đà Nẵng,https://baodanang.vn/
31,Báo Quảng Ngãi điện tử,Tỉnh Quảng Ngãi,Đảng bộ Quảng Ngãi,Thông tin về tỉnh Quảng Ngãi,http://baoquangngai.vn/
32,Báo Bình Định điện tử,Tỉnh Bình Định,Đảng bộ Bình Định,Thông tin về tỉnh Bình Định,http://baobinhdinh.vn/Default.aspx
33,Báo Phú Yên điện tử,Tỉnh Phú Yên,Đảng bộ Phú Yên,Thông tin về tỉnh Phú Yên,http://www.baophuyen.com.vn/
34,Báo Khánh Hòa điện tử,Tỉnh Khánh Hòa,Đảng bộ Khánh Hòa,Thông tin về tỉnh Khánh Hòa,https://baokhanhhoa.vn/
35,Báo Ninh Thuận điện tử,Tỉnh Ninh Thuận,Đảng bộ Ninh Thuận,Thông tin về tỉnh Ninh Thuận,http://baoninhthuan.com.vn/home.htm
36,Báo Bình Thuận điện tử,Tỉnh Bình Thuận,Đảng bộ Bình Thuận,Thông tin về tỉnh Bình Thuận,http://baobinhthuan.com.vn/
37,Báo Gia Lai điện tử,Tỉnh Gia Lai,Đảng bộ Gia Lai,Thông tin về tỉnh Gia Lai,https://baogialai.com.vn/
38,Báo Đắk Lắk điện tử,Tỉnh Đắk Lắk,Đảng bộ Đắk Lắk,Thông tin về tỉnh Đắk Lắk,http://baodaklak.vn/
