deal_id,deal_name,customer_id,amount,stage,pipeline,is_closed,is_won,close_date,create_date,probability,source
DEAL_0001,Deal 1,CUST_1978,55452.86,Closed Won,Sales Pipeline,True,True,2025-09-24 16:50:40.571325,2025-06-16 16:50:40.571336,100,Mock Data
DEAL_0002,Deal 2,CUST_3043,3945.52,Proposal,Consulting Pipeline,False,False,2026-01-06 16:50:40.571373,2025-08-19 16:50:40.571378,50,Mock Data
DEAL_0003,Deal 3,CUST_3958,1086.57,Closed Lost,Consulting Pipeline,True,False,2025-10-09 16:50:40.571408,2025-12-01 16:50:40.571412,0,Mock Data
DEAL_0004,Deal 4,CUST_1740,5697.57,Qualification,Sales Pipeline,False,False,2025-12-31 16:50:40.571437,2025-10-18 16:50:40.571441,80,Mock Data
DEAL_0005,Deal 5,CUST_1926,26871.37,Qualification,Consulting Pipeline,False,False,2026-01-02 16:50:40.571466,2025-08-14 16:50:40.571470,53,Mock Data
DEAL_0006,Deal 6,CUST_0254,36672.8,Proposal,Consulting Pipeline,False,False,2025-12-24 16:50:40.571495,2025-10-07 16:50:40.571498,13,Mock Data
DEAL_0007,Deal 7,CUST_3473,40231.25,Qualification,Partnership Pipeline,False,False,2025-12-06 16:50:40.571523,2025-11-23 16:50:40.571526,62,Mock Data
DEAL_0008,Deal 8,CUST_1816,11198.39,Prospecting,Consulting Pipeline,False,False,2025-11-09 16:50:40.571550,2025-08-05 16:50:40.571554,39,Mock Data
DEAL_0009,Deal 9,CUST_2260,6372.56,Closed Lost,Sales Pipeline,True,False,2025-10-19 16:50:40.571578,2025-06-19 16:50:40.571581,0,Mock Data
DEAL_0010,Deal 10,CUST_2248,3015.15,Qualification,Sales Pipeline,False,False,2025-12-20 16:50:40.571603,2025-08-03 16:50:40.571606,64,Mock Data
DEAL_0011,Deal 11,CUST_2955,2741.8,Closed Won,Sales Pipeline,True,True,2025-11-27 16:50:40.571630,2025-07-07 16:50:40.571633,100,Mock Data
DEAL_0012,Deal 12,CUST_1794,60.34,Proposal,Partnership Pipeline,False,False,2025-11-19 16:50:40.571655,2025-10-08 16:50:40.571659,38,Mock Data
DEAL_0013,Deal 13,CUST_0766,5094.32,Qualification,Consulting Pipeline,False,False,2025-11-27 16:50:40.571683,2025-11-13 16:50:40.571686,66,Mock Data
