transaction_id,customer_id,product_name,category,quantity,unit_price,total_amount,discount_amount,final_amount,payment_method,order_status,transaction_date,source
TXN_000001,CUST_3325,Coffee Maker,Books,2,29.94,59.88,0.0,59.88,PayPal,Shipped,2025-12-06 16:50:40.947655,Mock Data
TXN_000002,CUST_3596,Dress,Entertainment,3,380.57,1141.72,0.0,1141.72,Digital Wallet,Completed,2025-08-10 16:50:40.948435,Mock Data
TXN_000003,CUST_0323,Gaming Console,Electronics,2,1564.59,3129.19,0.0,3129.19,PayPal,Completed,2025-10-21 16:50:40.949248,Mock Data
TXN_000004,CUST_1038,Shoes,Clothing,2,203.31,406.61,52.98,353.63,Digital Wallet,Completed,2025-02-10 16:50:40.949991,Mock Data
TXN_000005,CUST_2662,Coffee Maker,Clothing,2,80.24,160.48,0.0,160.48,Digital Wallet,Completed,2025-08-24 16:50:40.950531,Mock Data
TXN_000006,CUST_2319,Smartphone,Electronics,3,1779.5,5338.51,0.0,5338.51,Credit Card,Pending,2025-03-30 16:50:40.951102,Mock Data
TXN_000007,CUST_4826,Tablet,Electronics,2,1731.99,3463.97,0.0,3463.97,PayPal,Delivered,2025-04-09 16:50:40.951633,Mock Data
TXN_000008,CUST_0302,Jacket,Home & Garden,3,152.93,458.78,0.0,458.78,Digital Wallet,Pending,2025-05-09 16:50:40.952187,Mock Data
TXN_000009,CUST_4360,Jeans,Clothing,4,211.06,844.22,0.0,844.22,Cash,Completed,2025-10-04 16:50:40.952722,Mock Data
TXN_000010,CUST_3227,Jacket,Electronics,3,1735.17,5205.5,0.0,5205.5,Digital Wallet,Completed,2025-11-24 16:50:40.953255,Mock Data
TXN_000011,CUST_3782,Blender,Home & Garden,2,278.27,556.53,10.29,546.24,Credit Card,Shipped,2025-11-26 16:50:40.953883,Mock Data
TXN_000012,CUST_1954,Dress,Clothing,4,232.66,930.63,0.0,930.63,Debit Card,Completed,2025-09-04 16:50:40.954420,Mock Data
